gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression
ENSG00000130589,HELZ2,131.754920370395,-0.82300694849664,0.205008033107972,-4.01451072926097,5.95692341228458e-05,0.0166099501062162,NS
ENSG00000229124,VIM-AS1,41.6756171722074,1.1752597057259,0.293111382361873,4.00960104740982,6.08214216041786e-05,0.0166099501062162,Up
ENSG00000196526,AFAP1,7.66896198278918,-5.15720187365922,1.28872308131612,-4.00179212154124,6.286451904976e-05,0.0166476676356319,Down
ENSG00000125538,IL1B,1583.91668034853,0.759958301724074,0.190534400258462,3.98856217403882,6.64749813508373e-05,0.0168972966748012,NS
ENSG00000163661,PTX3,68.4165698901177,1.02355194574222,0.256895158129457,3.98431777848621,6.76742629154412e-05,0.0168972966748012,Up
ENSG00000055332,EIF2AK2,81.3231061116072,-0.951833866394324,0.244073627395146,-3.8997817033847,9.62794565988104e-05,0.0233718380893612,NS
ENSG00000160932,LY6E,241.404701910111,-1.25874822366046,0.327683830504641,-3.84134982102093,0.00012235958862458,0.0289000120267624,Down
ENSG00000185347,TEDC1,68.5924865692441,1.44091989863248,0.376017005422156,3.83206045964532,0.00012707449895258,0.0292237906933314,Up
ENSG00000169429,CXCL8,1624.68848980932,1.28776655776222,0.337050092070919,3.82069783707775,0.000133074609304961,0.0298189489927193,Up
ENSG00000155090,KLF10,410.147360601349,0.977976252426371,0.264330992608771,3.69981681971682,0.000215755142444306,0.046067400476648,NS
ENSG00000185745,IFIT1,16.9767376754314,-1.94428790113451,0.525571883227066,-3.69937579079837,0.000216130383286711,0.046067400476648,Down
ENSG00000135046,ANXA1,1876.87713081878,0.765393659559395,0.208434555679209,3.67210541009032,0.000240560413097075,0.0500537488108413,NS
ENSG00000121653,MAPK8IP1,13.4529859088489,2.17549816478595,0.602093770240475,3.61322151517538,0.000302416132650163,0.0614608042611575,NS
ENSG00000128383,APOBEC3A,335.10417550359,-0.903807529504093,0.251671120162437,-3.5912246463589,0.00032912778561904,0.0653692663301089,NS
ENSG00000176393,RNPEP,160.658767346886,0.611674971935484,0.171396098717337,3.56878001607403,0.00035864740154785,0.0696493253805925,NS
ENSG00000138646,HERC5,21.2465399962436,-1.5252880470411,0.433296214261842,-3.52019703112237,0.00043122633173171,0.080180572617094,NS
ENSG00000145685,LHFPL2,34.5874293042204,1.50708149439739,0.428113332510474,3.52028628858578,0.000431081229535002,0.080180572617094,NS
ENSG00000134321,RSAD2,18.2750409823228,-1.58619227193722,0.456825881489438,-3.47220316582236,0.000516205518890255,0.093981667282957,NS
ENSG00000130489,ENSG00000130489,240.840096265357,-0.740798702074819,0.220755833330066,-3.35573783442091,0.000791535641886275,0.138344599488883,NS
ENSG00000152558,TMEM123,409.507665384423,-0.599782203674779,0.178478388070845,-3.36053126744232,0.000777927248068023,0.138344599488883,NS
ENSG00000136826,KLF4,2032.18833162629,0.744032799357591,0.225870170180301,3.29407286833699,0.00098746895840228,0.169205710342697,NS
ENSG00000127528,KLF2,443.028131479536,1.11100448154552,0.337851501691512,3.28844026438564,0.00100744160924624,0.169308311984671,NS
ENSG00000052749,RRP12,254.60291787433,0.98205575917509,0.299321550638512,3.28093903389238,0.00103462105194364,0.17059534665916,NS
ENSG00000229391,ENSG00000229391,56.9675918304677,-1.19712223463706,0.367139112211784,-3.26067747842267,0.00111146385036415,0.179871899783932,NS
ENSG00000006756,ARSD,63.9462052720848,-0.868674862338247,0.270008620164897,-3.21721159053269,0.0012944309676799,0.199591885872087,NS
