gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression
ENSG00000000457,SCYL3,21.6027733539273,0.392759197708749,0.342961448756233,1.14519926112136,0.252126624377025,0.999987595672692,NS
ENSG00000000460,FIRRM,10.8676934718008,0.226742853119983,0.468520237534213,0.483955302151543,0.628417591323847,0.999987595672692,NS
ENSG00000000938,FGR,164.176549933647,0.255953798287808,0.24318554014734,1.05250418315469,0.292568292312763,0.999987595672692,NS
ENSG00000001084,GCLC,17.1207653133408,0.190991527816493,0.379716648546911,0.502984339894956,0.614975282384605,0.999987595672692,NS
ENSG00000001167,NFYA,65.9760545338454,0.217474187301828,0.218382839032073,0.995839179789616,0.319328290312595,0.999987595672692,NS
ENSG00000001461,NIPAL3,34.3006619194415,0.0100283880485,0.28272736698673,0.035470170982672,0.971704831509268,0.999987595672692,NS
ENSG00000001497,LAS1L,51.1839019364542,0.030614352224564,0.253079744883455,0.120967216237167,0.903717002116739,0.999987595672692,NS
ENSG00000001561,ENPP4,17.5452267782544,0.0829549348232925,0.377436829797184,0.219784950154092,0.826038641100887,0.999987595672692,NS
ENSG00000001629,ANKIB1,41.0960404363542,0.0874364450042688,0.267999231575691,0.326256327267021,0.744230427727251,0.999987595672692,NS
ENSG00000001631,KRIT1,28.3364483177112,0.181077464044311,0.304845214967555,0.593998052630033,0.552513415455378,0.999987595672692,NS
ENSG00000002016,RAD52,15.0622484972564,0.355097432314548,0.412540459278033,0.860757834361233,0.389371432687826,0.999987595672692,NS
ENSG00000002330,BAD,8.31971507655505,-0.229546041357675,0.541089095514749,-0.424229656927946,0.671398334195497,0.999987595672692,NS
ENSG00000002549,LAP3,21.5089710689665,-0.331715961172501,0.348149637086935,-0.95279709020541,0.340692888899217,0.999987595672692,NS
ENSG00000002586,CD99,61.9837941215153,0.328645267278827,0.2316817891389,1.41852006797908,0.156038983963566,0.999987595672692,NS
ENSG00000002587,HS3ST1,15.6693010833285,-0.231189042529781,0.533525819087745,-0.433323063774274,0.664780084885264,0.999987595672692,NS
ENSG00000002822,MAD1L1,43.5515367681182,-0.128341276223477,0.275103241817951,-0.466520406576695,0.64084304424706,0.999987595672692,NS
ENSG00000002834,LASP1,112.822185670676,0.0379578494145118,0.181185342441187,0.20949735173436,0.834060002530505,0.999987595672692,NS
ENSG00000002919,SNX11,25.8372609540751,0.0994769353350907,0.321532041334704,0.309384206072136,0.757029283186768,0.999987595672692,NS
ENSG00000003056,M6PR,51.2497995061807,0.00685984489274155,0.236303665030896,0.0290297862787894,0.97684083458518,0.999987595672692,NS
ENSG00000003249,DBNDD1,38.5576447590799,0.3343055256203,0.322651602028132,1.03611921812541,0.300146527475207,0.999987595672692,NS
ENSG00000003393,ALS2,12.4710149594449,0.301451845447675,0.43937836485162,0.686087139382652,0.492658160271968,0.999987595672692,NS
ENSG00000003400,CASP10,31.8371330651303,-0.170705948477704,0.290103325833842,-0.588431545853687,0.556242668828888,0.999987595672692,NS
ENSG00000003402,CFLAR,69.7919302065357,0.0759743443431539,0.229100970093745,0.331619479009916,0.740176609048597,0.999987595672692,NS
ENSG00000003509,NDUFAF7,15.3651083768816,-0.0134039209783243,0.399539453229813,-0.0335484289973598,0.973237246791427,0.999987595672692,NS
ENSG00000003756,RBM5,224.352508808516,0.0650483722109013,0.147981865045398,0.439569890479118,0.660248652111835,0.999987595672692,NS
ENSG00000004059,ARF5,65.2348972168104,-0.00211234513714121,0.214041000197479,-0.00986888089287714,0.992125900119455,0.999987595672692,NS
ENSG00000004139,SARM1,11.6593458046338,0.169614340864219,0.451416502213839,0.375738015850984,0.707111672741776,0.999987595672692,NS
ENSG00000004142,POLDIP2,43.1958551019762,-0.032974737926918,0.251959172818688,-0.130873337763523,0.895875506627447,0.999987595672692,NS
ENSG00000004455,AK2,68.1582530518855,-0.0977120407140607,0.206628929043871,-0.472886546749291,0.636294123525285,0.999987595672692,NS
ENSG00000004468,CD38,14.6225776596368,-0.913387351120968,0.433458315750928,-2.10720920081693,0.0350994497464982,0.999987595672692,NS
ENSG00000004478,FKBP4,37.8009888410022,-0.0482980567779755,0.276406407569093,-0.174735662616296,0.861287344134056,0.999987595672692,NS
ENSG00000004487,KDM1A,45.6991906897156,-0.0252479187038858,0.246431589497376,-0.102454067497522,0.918396269754547,0.999987595672692,NS
ENSG00000004534,RBM6,212.938977548669,0.0460809010151943,0.182007972540533,0.253180673197885,0.800128600638308,0.999987595672692,NS
ENSG00000004700,RECQL,38.9972091685994,0.116382791116517,0.263613561817715,0.441490150635702,0.658858190413445,0.999987595672692,NS
ENSG00000004766,VPS50,23.8824608526764,0.166792168586195,0.326681223514594,0.510565519474198,0.609655325186766,0.999987595672692,NS
ENSG00000004777,ARHGAP33,24.6203800123423,0.0724538222085119,0.326536206314637,0.221886029197933,0.824402606547187,0.999987595672692,NS
ENSG00000004779,NDUFAB1,9.64238872933283,-0.076976301784648,0.497634254359545,-0.154684491893985,0.877070056505253,0.999987595672692,NS
ENSG00000004864,SLC25A13,11.4639281933175,0.383338042302846,0.455979909797237,0.840690640237432,0.400521265422166,0.999987595672692,NS
ENSG00000004897,CDC27,47.8310123417578,-0.00989099972519664,0.238780932886767,-0.0414229042730438,0.966958753496029,0.999987595672692,NS
ENSG00000004975,DVL2,44.4168329201152,-0.00748684477863764,0.252626613999787,-0.0296360096828276,0.97635734634406,0.999987595672692,NS
